book,book_abbr,chapter,chapter_abbr,type,name,name_join,character_url
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Group,Ogier,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Place,Tar Valon,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Place,Cairhien,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Place,Tear,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Place,Dragonmount,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Item,Great Serpent ring,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Event,Aiel War,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Event,Trolloc Wars,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Group,Aes Sedai,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Group,Aiel,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Group,High Lords of Tear,,
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Group,Children of the Light,,
New Spring,NS,Ch13: Business in the City,13,Place,White Tower,,
New Spring,NS,Ch13: Business in the City,13,Place,Tar Valon,,
New Spring,NS,Ch10: It Finishes,10,Place,White Tower,,
New Spring,NS,Ch10: It Finishes,10,Group,Accepted,,
New Spring,NS,Ch10: It Finishes,10,Group,Aes Sedai,,
New Spring,NS,Ch10: It Finishes,10,Group,Tamra Ospenya's Searchers,,
New Spring,NS,Ch22: Keeping Custom,22,Character,Jurad Shiman,Jurad Shiman,
New Spring,NS,Ch22: Keeping Custom,22,Place,Chachin,,
New Spring,NS,Ch22: Keeping Custom,22,Place,Kandor,,
New Spring,NS,Ch22: Keeping Custom,22,Place,Aesdaishar Palace,,
New Spring,NS,Ch22: Keeping Custom,22,Referenced Place,Blight,,
New Spring,NS,Ch22: Keeping Custom,22,Item,Hadori,,
New Spring,NS,Ch22: Keeping Custom,22,Item,Ki'sain,,
New Spring,NS,Ch22: Keeping Custom,22,Referenced Event,Aiel War,,
New Spring,NS,Ch22: Keeping Custom,22,Concept,Ko'di,,
New Spring,NS,Ch12: Entering Home,12,Place,White Tower,,
New Spring,NS,Ch12: Entering Home,12,Place,Tar Valon,,
New Spring,NS,Ch12: Entering Home,12,Place,Kinslayer's Dagger,,
New Spring,NS,Ch12: Entering Home,12,Referenced Place,Spine of the World,,
New Spring,NS,Ch12: Entering Home,12,Item,kesiera,,
New Spring,NS,Ch22: Keeping Custom,22,Group,Malkieri,,
New Spring,NS,Ch22: Keeping Custom,22,Referenced Group,Aes Sedai,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Place,Chachin,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Place,Ravinda,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Referenced Place,Canluum,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Referenced Place,White Tower,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Group,Aes Sedai,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Referenced Group,Black Ajah,,
New Spring,NS,Ch21: Some Tricks of the Power,21,Referenced Group,Blue Ajah,,
New Spring,NS,Ch8: Shreds of Serenity,8,Place,White Tower,,
New Spring,NS,Ch8: Shreds of Serenity,8,Place,Dragonmount,,
New Spring,NS,Ch8: Shreds of Serenity,8,Group,Aes Sedai,,
New Spring,NS,Ch8: Shreds of Serenity,8,Group,Accepted,,
New Spring,NS,Ch8: Shreds of Serenity,8,Group,Borderlanders,,
New Spring,NS,Ch7: The Itch,7,Referenced Character,Verin Mathwin,Verin Mathwin,/wiki/Verin_Mathwin
New Spring,NS,Ch1: The Hook,1,Referenced Character,Emares,Emares,/wiki/Emares
New Spring,NS,Ch6: Surprises,6,Referenced Character,Meilyn Arganya,Meilyn Arganya,/wiki/Meilyn_Arganya
New Spring,NS,Ch5: The Human Heart,5,Referenced Character,Danil,Danil,/wiki/Danil
New Spring,NS,Ch5: The Human Heart,5,Referenced Character,Cyril Wynn,Cyril Wynn,/wiki/Cyril_Wynn
New Spring,NS,Ch14: Changes,14,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch10: It Finishes,10,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch13: Business in the City,13,Referenced Character,Ilain Dormaile,Ilain Dormaile,/wiki/Ilain_Dormaile
New Spring,NS,Ch9: It Begins,9,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch10: It Finishes,10,Character,Myrelle Berengari,Myrelle Berengari,/wiki/Myrelle_Berengari
New Spring,NS,Ch10: It Finishes,10,Character,Sheriam Bayanar,Sheriam Bayanar,/wiki/Sheriam_Bayanar
New Spring,NS,Ch13: Business in the City,13,Referenced Character,Tamore Alkohima,Tamore Alkohima,/wiki/Tamore_Alkohima
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch12: Entering Home,12,Referenced Character,Pedron Niall,Pedron Niall,/wiki/Pedron_Niall
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Saerin Asnobar,Saerin Asnobar,/wiki/Saerin_Asnobar
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Ellid,Ellid Abareim,/wiki/Ellid
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Sarene,Sarene Nemdahl,/wiki/Sarene
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Cadsuane Melaidhrin,Cadsuane Melaidhrin,/wiki/Cadsuane_Melaidhrin
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Abell Cauthon,Abell Cauthon,/wiki/Abell_Cauthon
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Thomdril Merrilin,Thomdril Merrilin,/wiki/Thomdril_Merrilin
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Tamlin al'Thor,Tamlin al'Thor,/wiki/Tamlin_al%27Thor
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Birgitte Silverbow,Birgitte Silverbow,/wiki/Birgitte_Silverbow
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Shanan,Shanan,/wiki/Shanan
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Moghedien,Moghedien,/wiki/Moghedien
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Elswell,Elswell,/wiki/Elswell
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Lan Mandragoran,al'Lan Mandragoran,/wiki/Lan_Mandragoran
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Rubinde,Rubinde Acedone,/wiki/Rubinde
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Lyrelle,Lyrelle Arienwin,/wiki/Lyrelle
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Yukiri,Yukiri Haruna,/wiki/Yukiri
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Rodel Ituralde,Rodel Ituralde,/wiki/Rodel_Ituralde
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Loial,Loial,/wiki/Loial
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Elayne Trakand,Elayne Trakand,/wiki/Elayne_Trakand
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Aviendha,Aviendha,/wiki/Aviendha
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Damer Flinn,Damer Flinn,/wiki/Damer_Flinn
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Tuon,Fortuona Athaem Devi Paendrag,/wiki/Tuon
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Matrim Cauthon,Matrim Cauthon,/wiki/Matrim_Cauthon
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Perrin Aybara,Perrin Aybara,/wiki/Perrin_Aybara
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Padan Fain,Padan Fain,/wiki/Padan_Fain
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Moridin,Moridin,/wiki/Moridin
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Lan Mandragoran,al'Lan Mandragoran,/wiki/Lan_Mandragoran
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Rand al'Thor,Rand al'Thor,/wiki/Rand_al%27Thor
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Nakomi,Nakomi,/wiki/Nakomi
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Meilyn Arganya,Meilyn Arganya,/wiki/Meilyn_Arganya
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Aisha Raveneos,Aisha Raveneos,/wiki/Aisha_Raveneos
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Merean Redhill,Merean Redhill,/wiki/Merean_Redhill
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Min Farshaw,Elmindreda Farshaw,/wiki/Min_Farshaw
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Kerene Nagashi,Kerene Nagashi,/wiki/Kerene_Nagashi
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Nynaeve al'Meara,el'Nynaeve ti al'Meara Mandragoran,/wiki/Nynaeve_al%27Meara
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Ellid Abareim,Ellid Abareim,/wiki/Ellid_Abareim
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Elaida do Avriny a'Roihan,Elaida do Avriny a'Roihan,/wiki/Elaida_do_Avriny_a%27Roihan
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Sheriam Bayanar,Sheriam Bayanar,/wiki/Sheriam_Bayanar
A Memory of Light,AMOL,Epiloque: To See the Answer,Epiloque,Character,Faile Aybara,Zarine ni Bashere t'Aybara,/wiki/Faile_Aybara
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Myrelle Berengari,Myrelle Berengari,/wiki/Myrelle_Berengari
New Spring,NS,Ch8: Shreds of Serenity,8,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Avene Sahera,Avene Sahera,/wiki/Avene_Sahera
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Caniedrin,Caniedrin,/wiki/Caniedrin
New Spring,NS,Ch12: Entering Home,12,Referenced Character,Caniedrin,Caniedrin,/wiki/Caniedrin
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Ryne Venamar,Ryne Venamar,/wiki/Ryne_Venamar
New Spring,NS,Ch21: Some Tricks of the Power,21,Character,Bukama Marenellin,Bukama Marenellin,/wiki/Bukama_Marenellin
New Spring,NS,Ch12: Entering Home,12,Referenced Character,Rakim,Rakim,/wiki/Rakim
New Spring,NS,Ch12: Entering Home,12,Character,Eadyth,Eadyth,/wiki/Eadyth
New Spring,NS,Ch12: Entering Home,12,Character,Cabriana Mecandes,Cabriana Mecandes,/wiki/Cabriana_Mecandes
New Spring,NS,Ch12: Entering Home,12,Character,Cetalia Delarme,Cetalia Delarme,/wiki/Cetalia_Delarme
New Spring,NS,Ch12: Entering Home,12,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch21: Some Tricks of the Power,21,Referenced Character,Gorthanes,Ries Gorthanes,/wiki/Gorthanes
New Spring,NS,Ch12: Entering Home,12,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch22: Keeping Custom,22,Referenced Character,Bulen,Bulen,/wiki/Bulen
New Spring,NS,Ch12: Entering Home,12,Character,Lan Mandragoran,al'Lan Mandragoran,/wiki/Lan_Mandragoran
New Spring,NS,Ch22: Keeping Custom,22,Referenced Character,Anya,Anya,/wiki/Anya
New Spring,NS,Ch12: Entering Home,12,Character,Bukama,Bukama Marenellin,/wiki/Bukama
New Spring,NS,Ch22: Keeping Custom,22,Referenced Character,Esne,Esne,/wiki/Esne
New Spring,NS,Ch22: Keeping Custom,22,Character,Diryk,Diryk,/wiki/Diryk
New Spring,NS,Ch22: Keeping Custom,22,Character,Brys,Brys,/wiki/Brys
New Spring,NS,Ch22: Keeping Custom,22,Character,Romera,Romera,/wiki/Romera
New Spring,NS,Ch22: Keeping Custom,22,Character,Bukama Marenellin,Bukama Marenellin,/wiki/Bukama_Marenellin
New Spring,NS,Ch22: Keeping Custom,22,Character,Cat Dancer,Cat Dancer,/wiki/Cat_Dancer
New Spring,NS,Ch12: Entering Home,12,Character,Kairen,Kairen Stang,/wiki/Kairen
New Spring,NS,Ch22: Keeping Custom,22,Character,Ryne Venamar,Ryne Venamar,/wiki/Ryne_Venamar
New Spring,NS,Ch12: Entering Home,12,Character,Anaiya,Anaiya Carel,/wiki/Anaiya
New Spring,NS,Ch9: It Begins,9,Character,Elaida do Avriny a'Roihan,Elaida do Avriny a'Roihan,/wiki/Elaida_do_Avriny_a%27Roihan
New Spring,NS,Ch22: Keeping Custom,22,Referenced Character,Iselle,Iselle Arrel,/wiki/Iselle
New Spring,NS,Ch9: It Begins,9,Character,Merean Redhill,Merean Redhill,/wiki/Merean_Redhill
New Spring,NS,Ch9: It Begins,9,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch10: It Finishes,10,Character,Elaida do Avriny a'Roihan,Elaida do Avriny a'Roihan,/wiki/Elaida_do_Avriny_a%27Roihan
New Spring,NS,Ch10: It Finishes,10,Character,Verin Mathwin,Verin Mathwin,/wiki/Verin_Mathwin
New Spring,NS,Ch22: Keeping Custom,22,Character,Edeyn Arrel,Edeyn ti Gemallen Arrel,/wiki/Edeyn_Arrel
New Spring,NS,Ch10: It Finishes,10,Character,Merean Redhill,Merean Redhill,/wiki/Merean_Redhill
New Spring,NS,Ch10: It Finishes,10,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch22: Keeping Custom,22,Character,Lan Mandragoran,al'Lan Mandragoran,/wiki/Lan_Mandragoran
New Spring,NS,Ch10: It Finishes,10,Character,Dalresin Damodred,Dalresin Damodred,/wiki/Dalresin_Damodred
New Spring,NS,Ch9: It Begins,9,Character,Anaiya,Anaiya Carel,/wiki/Anaiya
New Spring,NS,Ch10: It Finishes,10,Character,Yuan,Yuan,/wiki/Yuan
New Spring,NS,Ch11: Just Before Dawn,11,Referenced Character,First Selector,First Selector,/wiki/First_Selector
New Spring,NS,Ch22: Keeping Custom,22,Character,Alys,Moiraine Damodred,/wiki/Alys
New Spring,NS,Ch11: Just Before Dawn,11,Referenced Character,Oval ring,Oval ring,/wiki/Oval_ring
New Spring,NS,Ch11: Just Before Dawn,11,Character,Eadyth,Eadyth,/wiki/Eadyth
New Spring,NS,Ch11: Just Before Dawn,11,Referenced Character,Three Oaths,Three Oaths,/wiki/Three_Oaths
New Spring,NS,Ch10: It Finishes,10,Character,Anaiya,Anaiya Carel,/wiki/Anaiya
New Spring,NS,Ch11: Just Before Dawn,11,Character,Lelaine Akashi,Lelaine Akashi,/wiki/Lelaine_Akashi
New Spring,NS,Ch11: Just Before Dawn,11,Character,Anlee,Anlee,/wiki/Anlee
New Spring,NS,Ch11: Just Before Dawn,11,Character,Jeaine Caide,Jeaine Caide,/wiki/Jeaine_Caide
New Spring,NS,Ch11: Just Before Dawn,11,Character,Leane Sharif,Leane Sharif,/wiki/Leane_Sharif
New Spring,NS,Ch11: Just Before Dawn,11,Character,Rafela Cindal,Rafela Cindal,/wiki/Rafela_Cindal
New Spring,NS,Ch11: Just Before Dawn,11,Character,Aeldra Najaf,Aeldra Najaf,/wiki/Aeldra_Najaf
New Spring,NS,Ch11: Just Before Dawn,11,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch11: Just Before Dawn,11,Character,Tamra Ospenya,Tamra Ospenya,/wiki/Tamra_Ospenya
New Spring,NS,Ch11: Just Before Dawn,11,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch13: Business in the City,13,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch13: Business in the City,13,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Character,Merean Redhill,Merean Redhill,/wiki/Merean_Redhill
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Character,Azil Mareed,Azil Mareed,/wiki/Azil_Mareed
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Character,Brendas,Brendas,/wiki/Brendas
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Character,Temaile Kinderode,Temaile Kinderode,/wiki/Temaile_Kinderode
New Spring,NS,Ch2: A Wish Fulfilled,2,Character,Tamra Ospenya,Tamra Ospenya,/wiki/Tamra_Ospenya
New Spring,NS,Ch2: A Wish Fulfilled,2,Character,Elin Warrel,Elin Warrel,/wiki/Elin_Warrel
New Spring,NS,Ch2: A Wish Fulfilled,2,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch2: A Wish Fulfilled,2,Character,Gitara Moroso,Gitara Moroso,/wiki/Gitara_Moroso
New Spring,NS,Ch2: A Wish Fulfilled,2,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch14: Changes,14,Referenced Character,Tamra Ospenya,Tamra Ospenya,/wiki/Tamra_Ospenya
New Spring,NS,Ch14: Changes,14,Referenced Character,Cetalia Delarme,Cetalia Delarme,/wiki/Cetalia_Delarme
New Spring,NS,Ch11: Just Before Dawn,11,Character,Elaida,Elaida do Avriny a'Roihan,/wiki/Elaida
New Spring,NS,Ch14: Changes,14,Character,Lelaine Akashi,Lelaine Akashi,/wiki/Lelaine_Akashi
New Spring,NS,Ch14: Changes,14,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch14: Changes,14,Character,Elaida do Avriny a'Roihan,Elaida do Avriny a'Roihan,/wiki/Elaida_do_Avriny_a%27Roihan
New Spring,NS,Ch2: A Wish Fulfilled,2,Referenced Character,Elaida a'Roihan,Elaida do Avriny a'Roihan,/wiki/Elaida_a%27Roihan
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Arrow,Arrow,/wiki/Arrow_(Moiraine)
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Temaile Kinderode,Temaile Kinderode,/wiki/Temaile_Kinderode
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Coladara,Coladara,/wiki/Coladara
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Brendas,Brendas,/wiki/Brendas
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Katerine Alruddin,Katerine Alruddin,/wiki/Katerine_Alruddin
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Tamra Ospenya,Tamra Ospenya,/wiki/Tamra_Ospenya
New Spring,NS,Ch4: Leaving the Tower,4,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch4: Leaving the Tower,4,Character,Steler,Steler,/wiki/Steler
New Spring,NS,Ch4: Leaving the Tower,4,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Merean,Merean Redhill,/wiki/Merean
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Atuan,Atuan Larisett,/wiki/Atuan
New Spring,NS,Ch3: Practice,3,Referenced Character,Brendas,Brendas,/wiki/Brendas
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Desandre,Desandre Alraed,/wiki/Desandre
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Alanna,Alanna Mosvani,/wiki/Alanna
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Edesina,Edesina Azzedin,/wiki/Edesina
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Carlinya,Carlinya Sorevin,/wiki/Carlinya
New Spring,NS,Ch3: Practice,3,Referenced Character,Gitara Moroso,Gitara Moroso,/wiki/Gitara_Moroso
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Meidani,Meidani Eschede,/wiki/Meidani
New Spring,NS,Ch3: Practice,3,Referenced Character,Merean Redhill,Merean Redhill,/wiki/Merean_Redhill
New Spring,NS,Ch3: Practice,3,Character,Tamra Ospenya,Tamra Ospenya,/wiki/Tamra_Ospenya
New Spring,NS,Ch3: Practice,3,Referenced Character,Verin,Verin Mathwin,/wiki/Verin
New Spring,NS,Ch4: Leaving the Tower,4,Referenced Character,Pritalle,Pritalle Nerbaijan,/wiki/Pritalle
New Spring,NS,Ch3: Practice,3,Referenced Character,Elaida,Elaida do Avriny a'Roihan,/wiki/Elaida
New Spring,NS,Ch3: Practice,3,Character,Aisling Noon,Aisling Noon,/wiki/Aisling_Noon
New Spring,NS,Ch3: Practice,3,Character,Tarna Feir,Tarna Feir,/wiki/Tarna_Feir
New Spring,NS,Ch3: Practice,3,Character,Myrelle Berengari,Myrelle Berengari,/wiki/Myrelle_Berengari
New Spring,NS,Ch3: Practice,3,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch3: Practice,3,Character,Moiraine Damodred,Moiraine Damodred,/wiki/Moiraine_Damodred
New Spring,NS,Ch3: Practice,3,Referenced Character,Aledrin,Aledrin Malenry,/wiki/Aledrin
New Spring,NS,Ch3: Practice,3,Referenced Character,Akarrin,Akarrin Comeris,/wiki/Akarrin
New Spring,NS,Ch3: Practice,3,Character,Alanna,Alanna Mosvani,/wiki/Alanna
New Spring,NS,Ch3: Practice,3,Referenced Character,Dragon Reborn,Dragon Reborn,/wiki/Dragon_Reborn
New Spring,NS,Ch5: The Human Heart,5,Referenced Character,Ellya Mowly,Ellya Mowly,/wiki/Ellya_Mowly
New Spring,NS,Ch5: The Human Heart,5,Referenced Character,Sedrin a'Conlin,Sedrin a'Conlin,/wiki/Sedrin_a%27Conlin
New Spring,NS,Ch5: The Human Heart,5,Character,Steler,Steler,/wiki/Steler
New Spring,NS,Ch5: The Human Heart,5,Character,Susa Wynn,Susa Wynn,/wiki/Susa_Wynn
New Spring,NS,Ch5: The Human Heart,5,Character,Careme Mowly,Careme Mowly,/wiki/Careme_Mowly
New Spring,NS,Ch5: The Human Heart,5,Character,Siuan Sanche,Siuan Sanche,/wiki/Siuan_Sanche
New Spring,NS,Ch3: Practice,3,Character,Zemaille,Zemaille din Amassa,/wiki/Zemaille
