name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,last_mentioned_book,last_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept,animal_type,color,owner
Jerinvar Barstere,,Andoran,Male,,,White,,,,,,,,TSR,56,TSR,56,Two Rivers,,,Alive,,,,,,,,
Jerasid,,Andoran,Male,,,,,Broad and stocky,,,,TGS,21,TPOD,9,TPOD,9,Two Rivers,,,Alive,,Farrier,,,,,,
Jeral Florry,,Andoran,Male,,,,,Round,,,,,,TDR,40,TDR,40,,,,Alive,,Innkeeper,,,,,,
Jeral,,Unknown,Male,,,,,,,,,,,TGH,29,TGH,29,Children of the Light,,,Alive,,Soldier,,,,,,
Jeorg Damentanis,,Illianer,Male,,,,Dark,,,,,,,KOD,20,KOD,20,,,,Alive,,Merchant,,,,,,
Jeordwyn Semaris,,Illianer,Male,,,,,,,,,,,TPOD,24,TPOD,24,Council of Nine,,,Alive,,,,,,,,
Jeordam,,Aiel,Male,,,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Aiel,,,,
Jeorad Manyard,,Andoran,Male,,,,,,,LOC,Epilogue,LOC,Epilogue,,,,,Artur Paendrag Tanreall,Governor of the Province of Andor,Governor,Dead,,,,,,,,
Joslyn Aybara,,Andoran,Female,,,,,,,,,TSR,31,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Dead,999 NE,,,,,,,
Josaine,,Unknown,Female,,,,,,,ACOS,32,,,TGS,40,TGS,40,White Tower,,Aes Sedai,Dead,1000 NE,,Green Ajah,,,,,
Jorin din Jubai White Wing,,Unknown,Female,,,,,,,,,,,TSR,19,TSR,39,,,Windfinder,Alive,,,,,,,,
Jorath,,Ghealdanin,Female,,,,,,,TDR,8,TDR,8,,,,,,,,Alive,,,,,,,,
Jonasim,,Saldaean,Female,,,,,,,TOM,16,TOM,16,,,,,,,,Dead,,Queen,,,,,,
Joline Maza,899 NE,Unknown,Female,,,,"Brown, Large",Slender,,,,TOM,52,TSR,47,TOM,17,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Jolien,,Aiel,Female,,,Red-gold,Blue,,,,,,,TDR,38,TFOH,44,,,,Dead,999 NE,,,Nakai,Salt Flat,,,
Azereos,,Illianer,Male,,,,,,,,,,,WH,32,WH,32,,,,Alive,,Merchant,,,,,,
Awlsten,,Unknown,Male,,,,,,,,,,,AMOL,24,AMOL,24,Rand al'Thor,,Asha'man,Alive,,Asha'man,,,,,,
Avin,,Andoran,Male,,,,,,,,,,,TEOTW,13,TEOTW,13,,,,Alive,,Gatekeeper,,,,,,
Avi Shendar,,Amadician,Male,,,,,,,,,,,TFOH,10,TFOH,10,,,,Alive,,,,,,,,
Aubrem Pensenor,,Andoran,Male,,,"Bald, white fringe",,Lean,,,,,,KOD,17,KOD,17,House Trakand,Lord,,Alive,,,,,,,,
Avar Hachami,,Saldaean,Male,,,,Dark,,,,,,,TFOH,50,KOD,1,White Tower,,,Alive,,Warder,,,,,,
Athan Dearn,,Andoran,Male,,,,,Fat,,,,,,TSR,56,TSR,56,Two Rivers,,,Alive,,,,,,,,
Jenric,,Aiel,Male,,,,,Massive,,,,,,TFOH,3,TFOH,3,,,,Alive,,,,Unknown clan,Unknown sept,,,
Jen,,Altaran,Male,,,,,,,,,ACOS,16,ACOS,16,,,,,,Alive,,Servant,,,,,,
Jearom,,Unknown,Male,,,,,,,TDR,24,LOC,1,,,,,White Tower,,,Dead,,Warder,,,,,,
Jasfer Anan,,Altaran,Male,,,Gray,,,,,,KOD,9,ACOS,17,WH,29,,,,Alive,,Ship captain,,,,,,
Jarr,,Unknown,Male,,,,,,,,,,,TOM,2,TOM,2,Perrin Aybara,,,Alive,,Mercenary,,,,,,
Jaril,,Amadician,Male,,,,,,,,,LOC,13,TFOH,49,LOC,12,,,,Alive,,,,,,,,
Jarid Sarand,,Andoran,Male,,,,,,,,,AMOL,1,TFOH,19,AMOL,Prologue,House Marne,Lord,High Seat,Alive,,,,,,,,
Jaric Mondoran,,Unknown,Male,,,,,,,TSR,26,,,,,,,,,Aes Sedai (Age of Legends),Dead,,,,,,,,
Joiya Byir,828 NE,Andoran,Female,,,Dark,Dark gray,,,TDR,25,WH,22,TDR,51,TSR,12,Black Ajah,,Aes Sedai,Dead,999 NE,,Gray Ajah,,,,,
Joiya al'Thor,,Andoran,Female,,,,,,,,,,,TDR,22,TDR,22,Two Rivers,,,Unknown,,,,,,,,
Joinde,,Aiel,Female,,,,,,,TFOH,3,TFOH,3,,,,,,,,Alive,,,,Shaarad,Black Rock,,,
Jinjin,,Seanchan,Female,,,,,,,,,,,ACOS,26,ACOS,26,,,,Alive,,,,,,,,
Jini,,Seanchan,Female,,,"Short, yellow",,,,,,,,TFOH,32,TFOH,32,,,,Alive,,,,,,,,
Jillien,,Unknown,Female,,,,,Plump,,,,,,TPOD,20,TPOD,28,The Kin,,,Alive,,Goldsmith,,,,,,
Jillari,,Seanchan,Female,,,"Long, fiery red",Green,Slight,,WH,8,,,KOD,14,KOD,14,,,,Alive,,,,,,,,
Atal Mishraile,,Unknown,Male,Tall,,"Golden, long",Blue,,,WH,Prologue,,,COT,Prologue,AMOL,42,The Shadow,,Asha'man,Alive,,Dreadlord,,,,,,
Astoril Damara,,Tairen,Male,,,"Long, Snow-white, Thinning","Sharp, Dark",,,WH,6,,,KOD,21,KOD,21,,High Lord of Tear,,Alive,,Lord,,,,,,
Assid Bakuun,,Seanchan,Male,,,,,,,,,,,TPOD,22,TPOD,22,Ever Victorious Army,,Captain,Unknown,,Soldier,,,,,,
Asmodean,Age of Legends,Unknown,Male,Tall,,Dark,Dark,,,TSR,6,AMOL,37,TSR,36,TFOH,56,,,Chosen,Dead,999 NE,,,,,,,
Asidim Faisar,,Unknown,Male,,,,,,,LOC,31,ACOS,Prologue,,,,,Children of the Light,,,Alive,,Soldier,,,,,,
Asan Sandair,,Cairhienin,Male,,,Balding,,,,,,,,TGH,25,TGH,25,,,,Alive,,Soldier,,,,,,
Arwin,,Unknown,Male,,,,,,,,,,,LOC,Prologue,LOC,Prologue,Younglings,,,Alive,,,,,,,,
Artur Paendrag Tanreall,FY 912,Shandalle,Male,Tall,,Long Black,"Dark, Deep Set",,,NS,1,,,TGH,47,AMOL,43,,High King,King,Bound to the Wheel,FY 994,,,,,,,
Arnin,,Altaran,Male,,,Black,Beady,Muscular,,,,,,ACOS,17,ACOS,17,Darkfriend,,,Alive,,Thug,,,,,,
Arlen Nalaam,971 NE,Domani,Male,,,,,,,,,AMOL,8,TPOD,23,AMOL,4,Black Tower,,Soldier (Asha'man),Dead,,Asha'man,,,,,,
Jargen,,Kandori,Male,,,"Black, graying",,,,,,,,TOM,Prologue,TOM,Prologue,Kandor,,Sergeant,Dead,1000 NE,Soldier,,,,,,
Jaren,,Aiel,Male,,,,,,,TSR,26,TSR,26,,,,,,,,Dead,,,,Da'shain Aiel,,,,
Jaret Byar,,Unknown,Male,Tall,,Gray,Deep-set,Thin,,,,,,TEOTW,30,TOM,41,The Shadow,,Officer,Dead,1000 NE,Soldier,,,,,,
Jared Aydaer,,Andoran,Male,,,,,,,,,TSR,43,TSR,40,TSR,40,Two Rivers,,,Dead,999 NE,,,,,,,
Jar Silvin,,Andoran,Male,,,Gray,,,,,,,,TFOH,12,TFOH,12,Gareth Bryne,,,Alive,,,,,,,,
Jaq Lounalt,,Taraboner,Male,,,,,Lean,,TSR,38,TOM,24,COT,15,TOM,23,Darkfriend,,,Dead,1000 NE,,,,,,,
Janwin,,Aiel,Male,,,Gray,Blue-gray,,,TFOH,2,,,ACOS,18,ACOS,18,,,,Alive,,Clan chief,,Shiande,,,,
Janduin,,Aiel,Male,Tall,,Blond,,,,,,,,TOM,49,TOM,49,,Child of the Dragon,,Foreseen,,,,,,,,
Jharen,,Amadician,Female,,,"gray, curly, long",,Plump,,,,TFOH,17,TFOH,13,TFOH,16,,,,Alive,,Innkeeper,,,,,,
Jezrail,,Tairen,Female,,,Dark,,,,,,,,KOD,24,AMOL,14,The Shadow,,Aes Sedai,Alive,,,Red Ajah,,,,,
Jestian Redhill,,Unknown,Female,,,,,,,ACOS,6,ACOS,6,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,,,,
Jesse Bilal,752 NE,Unknown,Female,,,,Dark,,,LOC,27,,,TGS,43,TGS,43,White Tower,First Chair,Aes Sedai,Alive,,,Brown Ajah,,,,,
Jesamyn,,Unknown,Female,,,Golden,,,,,,AMOL,1,AMOL,Prologue,AMOL,Prologue,The Kin,,,Alive,,,,,,,,
Jesain,,Aiel,Female,Short,,"Long, Wild, Fiery Red",,,,,,,,COT,9,COT,9,Shaido Aiel,,,Alive,,Wise One,,Shaido,Unknown sept,,,
Jerilin al'Caar,,Andoran,Female,,,,,Skinny,,,,TPOD,30,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,,,,
Jera,,Altaran,Female,,,,,,,,,,,,,KOD,11,,,,Alive,,Maid,,,,,,
Jennet,,Murandian,Female,,,,Big,,,,,KOD,23,TPOD,18,TPOD,18,Murandy,Lady,Novice,Alive,,,,,,,,
Jennet Cobb,,Andoran,Female,,,,,,,NS,6,KOD,24,,,,,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Arinvar,,Cairhienin,Male,Short,,Graying,,Slender,,,,TGS,43,TFOH,27,KOD,1,White Tower,,,Alive,,Warder,,,,,,
Arin,,Andoran,Male,,,,,,,,,,,TEOTW,17,TEOTW,17,,,,Alive,,Watchman,,,,,,
Aried,,Unknown,Male,,,,,,Ogier,LOC,50,LOC,50,,,,,,,,Dead,,,,,,,,
Arent,,Unknown,Male,,,,,,Ogier,TEOTW,36,AMOL,16,,,,,,Elder,Elder,Alive,,,,,,,,
Arendor Haevin,,Andoran,Male,,,,,,,COT,13,COT,13,,,,,House Trakand,Lord,,Alive,,,,,,,,
Arel Malevin,,Cairhienin,Male,Short,,,,Wide,,,,,,KOD,20,AMOL,37,,,Asha'man,Alive,,Asha'man,,,,,,
Aram,,Unknown,Male,,,,Dark,Slender,,,,TOM,40,TEOTW,25,KOD,30,Masema Dagar,,,Dead,1000 NE,,,,,,,
Aracome,,Tairen,Male,,,Graying,,Slender,,TSR,21,,,TFOH,46,TPOD,23,The Dragon Reborn,High Lord of Tear,,Dead,1000 NE,,,,,,,
Janduin (father),,Aiel,Male,,,,,,,TSR,34,AMOL,9,,,,,,,,Dead,979 NE,Clan chief,,Taardad,Iron Mountain,,,
Jander Parentakis,,Unknown,Male,,,,,,,WH,Prologue,WH,Prologue,,,,,School of Cairhien,,,Alive,,Inventor,,,,,,
Jame,,Seanchan,Male,,,,,,,,,,,AMOL,11,AMOL,11,,,,Alive,,Bouncer,,,,,,
Jalid Magonine,,Seanchan,Male,,,,,,,COT,4,COT,4,,,,,,,,Alive,,Craftsman,,,,,,
Jalanda (Ogier),,Unknown,Male,,,,,,Ogier,TDR,50,TDR,50,,,,,,,,Dead,,Historian,,,,,,
Jakob Hernvil,,Andoran,Male,Short,,,,Lean,,,,,,KOD,17,KOD,17,House Marne,,,Alive,,Secretary,,,,,,
Jak Masond,,Unknown,Male,Short,Stocky,,,,,,,,,TPOD,22,TPOD,24,Dragon Reborn,,,Alive,,,,,,,,
Jak,,Andoran,Male,,,,,Big,,,,,,TEOTW,32,TEOTW,32,,,,Alive,,Bouncer,,,,,,
Jaim Torfinn,,Andoran,Male,,,,,,,,,,,TSR,33,TOM,46,Logain Ablar,,Soldier (Asha'man),Alive,,Asha'man,,,,,,
Jaim Thane,,Andoran,Male,,,,,,,TSR,43,TSR,43,,,,,Two Rivers,,,Alive,,,,,,,,
Jendhilin,,Aiel,Female,,,,,,,WH,34,TGS,29,,,,,,,,Dead,,,,Miagoma,Cold Peak,,,
Jenare Balmaen,,Unknown,Female,,,,,Sturdy,,,,,,WH,Prologue,AMOL,3,The Shadow,,Aes Sedai,Alive,,,Red Ajah,,,,,
Jeaine Caide,912 NE,Domani,Female,,,Dark,Dark brown,,,,,,,NS,11,AMOL,44,Black Ajah,,Aes Sedai,Dead,1000 NE,,Green Ajah,,,,,
Javindhra Doraille,842 NE,Unknown,Female,,,,,Angular,,,,,,TFOH,Prologue,AMOL,14,Turning,,Aes Sedai,Alive,,,Red Ajah,,,,,
Jasmen,,Unknown,Female,,,,,,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive,,,,,,,,
Jarna Malari,,Unknown,Female,,,"Long, black, white at temples",Brown,,,,,ACOS,Prologue,NS,6,NS,6,Black Ajah,,Aes Sedai,Dead,983 NE,Sitter,Gray Ajah,,,,,
Jarene,966 NE,Kandori,Female,,,,,,,,,,,NS,25,NS,25,Kandor,,,Alive,,,,,,,,
Jara Doweel,,Unknown,Female,,,,,,,TPOD,26,WH,Prologue,,,,,,,,Alive,,Farmer,,,,,,
Janya Frende,,Andoran,Female,,,"Short, Dark",,Slim,,,,,,LOC,Prologue,TOM,27,White Tower,,Aes Sedai,Alive,,Sitter,Brown Ajah,,,,,
Azril,,Andoran,Female,,,,,,,LOC,11,LOC,11,LOC,11,LOC,11,,,,Alive,,Serving girl,,,,,,
Ayako Norsoni,,Arafellin,Female,Small,,"Black, waist-length",Black,,,WH,Prologue,,,KOD,20,AMOL,42,The Shadow,,Aes Sedai,Alive,,Dreadlord,White Ajah,,,,,
Ara,,Andoran,Male,,Slight,Dark,,,,,,,,TEOTW,14,TEOTW,14,,,,Alive,,Attendant,,,,,,
Antol,964 NE,Kandori,Male,Tall,,,,,,NS,25,,,,,AMOL,7,Kandor,Prince,,Alive,,,,,,,,
Antail,,Unknown,Male,,,,,,,,,,,TOM,24,AMOL,18,Rand al'Thor,,Asha'man,Alive,,Asha'man,,,,,,
Anselan,,Unknown,Male,,,,,,,TFOH,24,TFOH,36,,,,,White Tower,,,Dead,,Warder,,,,,,
Ankaer,,Domani,Male,,,,,Lanky,,,,TOM,32,COT,Prologue,TOM,21,Dragon Reborn,Lord,Lord,Dead,1000 NE,Soldier,,,,,,
Anjen,,Unknown,Male,,,,,,,LOC,30,LOC,30,,,,,,,,Dead,985 NE,Warder,,,,,,
Anghar,,Seanchan,Male,,,,,,,,,,,TPOD,23,TPOD,23,,,,Alive,,Soldier,,,,,,
Androl Genhald,,Taraboner,Male,,,,,Square,,,,,,WH,Prologue,AMOL,48,Logain Ablar,,Asha'man,Alive,,Asha'man,,,,,,
Andro,,Unknown,Male,,,,,Lean,,,,,,NS,5,NS,5,White Tower,,,Dead,979 NE,Warder,,,,,,
Andris,,Illianer,Male,,,,Dark,,,,,LOC,23,LOC,16,LOC,16,Sammael,,,Dead,999 NE,,,,,,,
Andric,,Taraboner,Male,,,Graying,,,,,,ACOS,26,TSR,38,TSR,38,Tarabon,King of Tarabon,King,Dead,1000 NE,,,,,,,
Andere,,Malkieri,Male,,,Long,,Lean,,,,,,NS,15,AMOL,37,Lan Mandragoran,,,Alive,,,,,,,,
Ander Tol,,Cairhienin,Male,,,,,,,,,,,ACOS,36,TPOD,21,,,,Alive,,Farmer,,,,,,
Jaim Dawtry,,Andoran,Male,,,,,,,,,,,TOM,24,TOM,24,Perrin Aybara,,,Alive,,Soldier,,,,,,
Jaim Aybara,,Andoran,Male,,,"Dark, curly",,,,,,,,TSR,53,TSR,56,Two Rivers,,,Alive,,,,,,,,
Jaim Adarra,,Unknown,Male,,,,,,,,,,,TDR,35,TDR,41,,,,Alive,,Ship captain,,,,,,
Jaim,,Unknown,Male,,,Gray,,,,,,,,NS,1,NS,1,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Jailin Maran,,Andoran,Male,,,,,,,COT,Prologue,COT,Prologue,,,,,House Marne,,,Alive,,,,,,,,
Jaichim Carridin,,Amadician,Male,Tall,,Gray at temples,Dark,,,,,,,TGH,Prologue,TPOD,28,Darkfriend,,Inquisitor,Dead,1000 NE,Inquisitor,,,,,,
Jahar Narishma,977 NE,Arafellin,Male,,,"Dark, in long braids",Dark,,,LOC,28,,,LOC,42,AMOL,39,The Dragon Reborn,,Asha'man,Alive,,Warder,,,,,,
Jaem the Giant-Slayer,,Unknown,Male,,,,,,,TEOTW,4,,,,,,,,Jaem the Giant-Slayer,,Fictional character,,,,,,,,
Jaem Dawlish,,Andoran,Male,,,,,,,KOD,35,,,,,,,Elayne Trakand,,,Alive,,Servant,,,,,,
Jaem,922NE,Unknown,Male,,,,,Wiry,,,,,,TGH,22,KOD,32,Rebel Aes Sedai,,,Dead,1000 NE,Warder,,,,,,
Jadranka,,Seanchan,Male,Short,,,,Thin,,,,,,TPOD,23,TPOD,23,,,,Dead,1000 NE,,,,,,,
Jac Wynn,,Murandian,Male,,,,,,,NS,5,,,,,,,,,,Dead,978 NE,Soldier,,,,,,
Jac al'Seen,,Andoran,Male,,,"Balding, gray",,Stocky,,,,,,TSR,32,TSR,56,Two Rivers,,,Alive,,,,,,,,
Janny,,Andoran,Female,,,,,,,,,,,COT,15,COT,15,,,,Alive,,Maid,,,,,,
Janira,,Saldaean,Female,,,Gray,,,,,,,,ACOS,38,ACOS,38,The Kin,,Elder,Dead,1000 NE,,,,,,,
Janine Pavlara,963 NE,Arafellin,Female,,,,,,,,,WH,13,ACOS,1,ACOS,1,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Janina,,Aiel,Female,,,Flaxen,Pale blue,,,,,,,TPOD,9,KOD,29,,,,Alive,,Wise One,,Unknown clan,Unknown sept,,,
Jancy Torfinn,985 NE,Andoran,Female,,,,,,,,,TPOD,30,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,,,,
Jan,,Andoran,Female,,,,,,,LOC,Prologue,,,,,,,,,,Alive,,Seamstress,,,,,,
Jamilila Norsish,,Unknown,Female,,,,,,,TGS,Epilogue,TGS,Epilogue,,,,,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Jameine,,Unknown,Female,,,,,Willowy,,,,,,WH,15,COT,3,Valan Luca,,,Alive,,Seamstress,,,,,,
Jalindin,,Seanchan,Female,,,,Dark,,,,,,,TFOH,32,TFOH,32,,,,Alive,,Seeker for Truth,,,,,,
Jalani,983 NE,Aiel,Female,,,,Green,,,,,,,LOC,1,TGS,31,,,,Alive,,,,Unknown clan,Unknown sept,,,
Jala Bandevin,,Unknown,Female,Very short,,Gray,,,,,,,,NS,7,KOD,Prologue,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Jair,,Aiel,Female,,,,,,,ACOS,18,ACOS,18,,,,,,,,Alive,,,,Daryne,Unknown sept,,,
