book,book_abbr,chapter,chapter_abbr,type,name,name_join,character_url,images
The Eye of the World,TEOTW,Ch18: The Caemlyn Road,18,Concept,True Source,,,
The Eye of the World,TEOTW,Ch16: The Wisdom,16,Concept,True Source,,,
The Eye of the World,TEOTW,Ch16: The Wisdom,16,Concept,saidar,,,
The Eye of the World,TEOTW,Ch16: The Wisdom,16,Concept,saidin,,,
The Eye of the World,TEOTW,Ch15: Strangers and Friends,15,Concept,One Power,,,
The Eye of the World,TEOTW,Ch15: Strangers and Friends,15,Concept,Amyrlin Seat,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Five Powers,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Earth,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Wind,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Fire,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Water,,,
The Eye of the World,TEOTW,Ch13: Choices,13,Concept,Spirit,,,
The Eye of the World,TEOTW,Ch12: Across the Taren,12,Concept,True Source,,,
The Eye of the World,TEOTW,Ch12: Across the Taren,12,Concept,saidin,,,
The Eye of the World,TEOTW,Ch12: Across the Taren,12,Concept,saidar,,,
The Eye of the World,TEOTW,Ch11: The Road to Taren Ferry,11,Concept,One Power,,,
The Eye of the World,TEOTW,Ch9: Tellings of the Wheel,9,Concept,True Source,,,
The Eye of the World,TEOTW,Ch9: Tellings of the Wheel,9,Concept,Bonding,,,
The Eye of the World,TEOTW,Ch14: The Stag and Lion,14,Concept,True Source,,,
The Eye of the World,TEOTW,Ch7: Out of the Woods,7,Concept,Healing,,,
The Eye of the World,TEOTW,Ch7: Out of the Woods,7,Concept,Lightnings,,,
The Eye of the World,TEOTW,Ch8: A Place of Safety,8,Concept,One Power,,,
The Eye of the World,TEOTW,Ch8: A Place of Safety,8,Concept,True Source,,,
The Eye of the World,TEOTW,Ch8: A Place of Safety,8,Concept,Healing,,,
The Eye of the World,TEOTW,Ch3: The Peddler,3,Concept,Listening to the Wind,,,
The Eye of the World,TEOTW,Prologue: Ravens,Prologue,Concept,Aes Sedai (Age of Legends),,,
