name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Desandre Alraed,,Ghealdanin,Female,,,,,Willowy,,NS,4,WH,Prologue,COT,Prologue,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Derys Nermala,911 NE,Unknown nationality,Female,,,,,Slender,,,,ACOS,23,KOD,17,The Kin,,,Alive ,,,,,
Desaine,,Aiel,Female,,,Gray,,,,,,LOC,Prologue,LOC,53,,,,Dead,999 NE,Wise One,,Shaido,Unknown sept
Devore Zarbayan,,Saldaean,Female,,,,Cool,Slim,,,,KOD,15,KOD,16,,,Bannerwoman,Alive ,,Queen's Guard,,,
Derah din Selaan Rising Wave,,,Female,Short,,,,,,,,ACOS,34,WH,13,,,Sailmistress,Alive ,,,,,
Dena,,Cairhienin,Female,Slender,,"Dark, shoulder length",,,,,,TGH,26,TDR,31,,,,Dead,998 NE,Entertainer,,,
Deni Colford,,Andoran,Female,,,Graying,,Blocky,,,,WH,7,KOD,31,Queen's Guard,,,Alive ,,Soldier,,,
Demira Eriff,930 NE,Domani,Female,,,,,,,LOC,41,LOC,43,LOC,49,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Delana Mosalaine,950 NE,Shienaran,Female,,,"Pale, almost white",Pale blue,Stout,,,,LOC,12,TOM,Prologue,Black Ajah,,Aes Sedai,Dead,1000 NE,Sitter,Gray Ajah,,
Delora,,Aiel,Female,,,Blond,Blue,,,,,TPOD,9,KOD,29,,,,Alive ,,Wise One,,Shiande,Unknown sept
Deirdru,,Altaran,Female,,,,,,,KOD,21,,,,,,Lady,,Dead,,,,,
Deira ni Ghaline t'Bashere,,Saldaea,Female,Tall,,Dark hair with white at temples.,Dark,,,LOC,1,LOC,26,AMOL,37,,Lady,,Dead,,,,,
Deane Aryman,FY 920,Shiotan,Female,,,,,,,TFOH,11,,,,,,Amyrlin Seat,Aes Sedai,Dead,FY 1084,,Blue Ajah,,
Deindre,,Unknown nationality,Female,,,,Dark,,,,,TSR,26,TSR,26,,,Aes Sedai (Age of Legends),Dead,,,,,
Dealda,,Amadician,Female,,,,,,,TSR,38,,,,,,,,Dead,,,,,
Daviena,,Aiel,Female,,,Yellow-Red,Green,,,,,TPOD,Prologue,TPOD,Prologue,,,,Alive ,,Wise One,,Unknown clan,Unknown sept
Darvale,,Altaran,Female,,,White,,Lean,,KOD,8,,,,,,,,Alive ,,Wisdom,,,
Deain,,Unknown nationality,Female,,,,,,,TGH,40,,,,,Luthair Paendrag Mondwin,,Aes Sedai,Dead,,,Unknown Ajah,,
Darea Candwin,,Andoran,Female,,,,,,,,,LOC,10,LOC,11,White Tower,,Novice,Alive ,,,,,
Darnella Shoran,,Altaran,Female,,,,,,,,,WH,20,WH,20,,,,Alive ,,Innkeeper,,,
Dara,,Tairen,Female,,,,,,,TSR,13,,,,,,,,Alive ,,Cook,,,
Danine Candraed,,Andoran,Female,,,,,,,COT,13,,,,,,Lady,High Seat,Alive ,,,,,
Danelle,,Unknown nationality,Female,,,,"Blue, big",,,,,,,,,White Tower,,Aes Sedai,Dead,,,Brown Ajah,,
Daria Gahand,,Unknown nationality,Female,,,,,,,LOC,50,,,,,,,,Dead,,Author,,,
Dali,,Seanchan,Female,,,Yellow,,Plump,,,,WH,14,WH,14,,,,Alive ,,,,,
Dalevien,,Unknown nationality,Female,,,"Dark, streaked with gray",,Stocky,,,,KOD,24,KOD,24,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Dani,,Seanchan,Female,,,,,,,,,WH,14,WH,14,,,,Alive ,,,,,
Damelle,,,Female,,,,,,Ogier,TSR,43,,,,,,,,Dead,,Author,,,
Dalar,,,Female,,,,,,Ogier,TGH,35,,,,,,,,Dead,,Author,,,
Daise Congar,,Andoran,Female,Tall,,,,"Wide, Muscular",,,,TEOTW,1,LOC,Prologue,Two Rivers,Women's Circle Member,,Alive ,,Wisdom,,,
Dairaine Saighan,,Cairhienin,Female,,,"Black, waist-length",,Slender,,KOD,5,KOD,28,KOD,28,House Saighan,,Lady,Alive ,,,,,
Dagendra,,Aiel,Female,,,,,Blocky,,,,LOC,10,LOC,10, ,,,Alive ,,,,Unknown clan,Unknown sept
Dailin,,Aiel,Female,,,Dark red,Gray,,,,,TDR,38,TDR,39, ,,,Dead,999 NE,,,Taardad,Nine Valleys
Dalaine Ndaye,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,64 NE,,Gray Ajah,,
Daigian Moseneillin,907 NE,Cairhienin,Female,Short,,"Long, Black",,Plump,,,,ACOS,19,TGS,22,Unaligned sisters,Lady,Aes Sedai,Dead,1000 NE,,White Ajah,,
Dagdara Finchey,848 NE,Andoran,Female,Tall,,Graying,,Wide,,,,TFOH,50,LOC,30,Black Ajah,,Aes Sedai,Unknown,,,Yellow Ajah,,
Daerilla Raned,,Andoran,Female,,,,,Plump,,,,LOC,1,LOC,2,,Lady,,Alive ,,,,,
Daelvin,,Cairhienin,Female,,,,,,,LOC,5,LOC,5,LOC,5,,,,Alive ,,Innkeeper,,,
Felaana Bevaine,,Unknown nationality,Female,,,"Yellow, Gleaming",,Slim,,,,NS,17,KOD,24,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Feragaine Saralman,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,754 NE,,Blue Ajah,,
Fera Sormen,,Unknown nationality,Female,,,,,,,COT,24,,,,,Black Ajah,,Aes Sedai,Alive ,,,White Ajah,,
Feraighin,,Aiel,Female,,,Red,,,,,,ACOS,3,ACOS,3, ,,,Alive ,,Wise One,,Unknown clan,Unknown sept
Farellien,,Unknown nationality,Female,,,,,,,ACOS,32,,,,,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Famelle Juarde,,Taraboner,Female,,,Honey,Brown,Slender,,,,ACOS,37,WH,11,The Kin,,Elder,Alive ,,,,,
Farnah Sadaou,,Unknown nationality,Female,,,,,,,,,TOM,27,TOM,27,White Tower,,Aes Sedai,Alive ,,Sitter,Green Ajah,,
Faolain Orande,970 NE,Unknown nationality,Female,,,"Dark, Curly",,,,,,TDR,11,AMOL,21,White Tower,,Aes Sedai,Alive ,,,Blue Ajah,,
Falion Bhoda,,Kandori,Female,,,"Dark, glossy",,,,,,TFOH,18,AMOL,23,Black Ajah,,Aes Sedai,Dead,1000 NE,Dreadlord,White Ajah,,
Falendre,,Seanchan,Female,,,Streaks of gray,"Dark, tilted",,,,,KOD,27,TGS,Prologue,,,,Alive ,,,,,
Faiselle Darone,829 NE,Domani,Female,,,,,Stocky,,LOC,34,TPOD,16,AMOL,31,White Tower,,Aes Sedai,Alive ,,Sitter,Green Ajah,,
Heidia,,Aiel,Female,,,,,Slender,,,,TOM,25,TOM,25, ,,,Alive ,,,,Unknown clan,Unknown sept
Hessalam,,,Female,,,Thin,"Pale, off-center",,,,,AMOL,Prologue,AMOL,48,,,Chosen,Alive ,,,,,
Hayde,,Aiel,Female,,,,,,,AMOL,Prologue,,,,,,,,Alive ,,Wise One,,Daryne,Unknown sept
Hashala,,Unknown nationality,Female,,,"Black, short",,,,,,TGS,41,TGS,41,White Tower,,Novice,Alive ,,,,,
Hattori Gatano,,Illianer,Female,,,,,,,TGS,13,,,,,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Harilin,,Aiel,Female,,,Red,,Lanky,,,,LOC,28,KOD,19, ,,,Alive ,,,,Taardad,Iron Mountain
Heilin,,Altaran,Female,,,Black,,Round,,,,KOD,11,KOD,11,,,,Alive ,,Innkeeper,,,
Hamada,,,Female,,,,,,Ogier,TDR,50,,,,,,,,Dead,,,,,
Harine din Togara Two Winds,,,Female,,,"Dark, with white streaks",,,,LOC,27,ACOS,34,TGS,5,,,Wavemistress,Alive ,,,,,
Haesel Lusara,878 NE,Murandian,Female,,,Black,Black,Stocky,,The Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Haesel Palan,,Murandian,Female,,,,,Plump,,,,NS,18,NS,18,,,,Alive ,,Merchant,,,
Hadora,,Unknown nationality,Female,,,,,,,,,KOD,32,KOD,32,Queen's Guard,,,Alive ,,Soldier,,,
Zorelle,,Unknown nationality,Female,,,,,,,TSR,26,,,,,,,Aes Sedai (Age of Legends),Dead,,,,,
Zerah Dacan,928 NE,Mayener,Female,,,Black,Blue,Slim,,,,TPOD,26,TPOD,26,White Tower,,Aes Sedai,Alive ,,,White Ajah,,
Zera,,Unknown nationality,Female,,,White,,,,,,TGH,25,,,,,,,,Innkeeper,,,
Zeranda Tyrim,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,817 NE,,Brown Ajah,,
Zenare Ghodar,,Unknown nationality,Female,,,,,Plump,,,,LOC,30,LOC,30,White Tower,,Aes Sedai,Alive ,,,Yellow Ajah,,
Zarya Alkaese,,Saldaea,Female,,,,"Dark, tilted",,,,,ACOS,23,KOD,17,White Tower,,Novice,Alive ,,,,,
Zarine ni Bashere t'Aybara,,Saldaean,Female,Tall,Slender,Black & Shoulder Length,Dark,,,,,TDR,33,AMOL,Epilogue,Perrin Aybara,Lady,Lady,Alive ,,,,,
Zemaille din Amassa,931 NE,,Female,Tall,,"Straight, black",,Slim,,,,NS,3,COT,21,White Tower,,Aes Sedai,Alive ,,Librarian,Brown Ajah,,
Zavion,,Saldaean,Female,,,Red,,Sinewy,,,,COT,Prologue,COT,Prologue,,Lady,,Alive ,,,,,
Zakai,,Seanchan,Female,,,,,,,,,TPOD,24,TPOD,24,,,,Alive ,,,,,
Zaida din Parede Blackwing,,,Female,,,"Close cut, black, curly, graying",,Short,,LOC,28,WH,Prologue,AMOL,24,,,Mistress of the Ships,Alive ,,,,,
Zanica,,Unknown nationality,Female,,,,,,,KOD,Prologue,,,,,Black Ajah,,Aes Sedai,Alive ,,,Unknown Ajah,,
Iva,,,Female,,,,,,Ogier,TGH,35,,,,,,,,Alive ,,,,,
Ispan Shefar,891 NE,Taraboner,Female,,,Black,,,,TDR,13,TFOH,18,TPOD,28,Black Ajah,,Aes Sedai,Dead,1000 NE,,Blue Ajah,,
Isendre,,Unknown nationality,Female,,,Dark,Dark,,,,,TSR,37,TFOH,29,Darkfriend,,,Dead,999 NE,,,,
Ishara Casalain,,Andoran,Female,,,,,,,LOC,1,,,,,Andor,Queen,Queen of Andor,Dead,FY 1020,,,,
Iselle Arrel,,Malkieri,Female,Tall,,Very long and black,,,,NS,22,NS,25,NS,26,,,,Dead,979 NE,,,,
Isebaille Tobanyi,,Domani,Female,,,,,,,ACOS,6,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,
Ishara Nawan,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,454 NE,,Blue Ajah,,
Isan,,Aiel,Female,,,,,,,ACOS,2,,,,, ,,,Dead,1000 NE,,,Chareen,Jarra (sept)
Isebele,,Dal Calainin,Female,,,,,,,ACOS,16,,,,,,Queen of Dal Calain ,Queen,Dead,,,,,
Irgain Fatamed,931 NE,Domani,Female,,,,Bright blue,,,,,TPOD,Prologue,TPOD,Prologue,The Dragon Reborn,,Aes Sedai,Alive ,,,Green Ajah,,
Iona,,Seanchan,Female,,,,,,,WH,20,,,,,,,,Alive ,,,,,
Irella,,Unknown nationality,Female,,,,,Lanky,,TGH,38,TGH,39,TGH,39,White Tower,,Accepted,Alive ,,,,,
Iona Ashmar,,Ghealdanin,Female,,,,,,,RPG,,,,,,,Lady,Lady,Dead,,,,,
Innina Darenhold,,Taraboner,Female,,,,,,,LOC,55,,,,,The Dragon Reborn,,Aes Sedai,Alive ,,,Red Ajah,,
Ines,,Unknown nationality,Female,,,,,,,,,ACOS,35,ACOS,35,Darlin Sisnera,Lady,Lady,Alive ,,,,,
Ines Demain,,Kandori,Female,,,,,,,NS,17,,,,,,,Lady,Alive ,,,,,
Innloine Damodred,,Cairhienin,Female,,,,,,,NS,6,,,,,,Lady,,Alive ,,,,,
Inala,,Domani,Female,,,,,Lanky,,,,TGS,40,TGS,40,White Tower,,Novice,Alive ,,,,,
Ilyena Therin Moerelle,,,Female,,,Golden,,,,TEOTW,Prologue,,,,,,,,Dead,,,,,
Illeisien,,Unknown nationality,Female,,,,,,,TPOD,Prologue,,,,,Unaligned sisters,,Aes Sedai,Alive ,,,Unknown Ajah,,
Ilain Dormaile,,Cairhienin,Female,A hand shorter than Moiraine,,Graying,,Slim,,,,NS,13,NS,13,,,,Alive ,,Banker,,,
Ila,,,Female,,,Gray,Dark,Plump,,,,TEOTW,25,AMOL,37,,,,Alive ,,,,,
Igaine Luin,,Unknown nationality,Female,,,,,,,,,TWORJTWOT,,TWORJTWOT,,,Amyrlin Seat,Aes Sedai,Dead,520 NE,,Brown Ajah,,
Ieine,,Unknown nationality,Female,Tall,,Dark,,,,,,ACOS,38,TPOD,3,The Kin,,Elder,Alive ,,,,,
Ifeyina,,Aiel,Female,,,,,,,,,TOM,32,TOM,32, ,,,Alive ,,,,Unknown clan,Unknown sept
Ibrella,,Altaran,Female,,,,,,,LOC,13,,,,,White Tower,,Novice,Alive ,,,,,
Idrelle Menford,,Unknown nationality,Female,,,,Hard,Lanky,,,,KOD,24,KOD,24,White Tower,,Accepted,Alive ,,,,,
Ianelle,,Seanchan,Female,,,,,,,,,WH,14,WH,14,,,,Alive ,,,,,
Idrien Tarsin,,Cairhienin,Female,,,"Black, graying",,Stocky,,,,LOC,18,WH,Prologue,,,,Alive ,,Headmistress,,,
Kwamesa Taramasu,950 NE,Arafellin,Female,Average,,Dark,,Slender,,,,LOC,35,AMOL,37,White Tower,,Aes Sedai,Dead,1000 NE,Sitter,Gray Ajah,,
Evelle Haevin,,Andoran,Female,,,,,,,COT,13,,,,,House Trakand,Lady,,Alive ,,,,,
Evasni,,Aiel,Female,,,"Dark red, short with a tail at back",,Lanky,,,,TOM,32,TOM,32, ,,,Alive ,,,,Unknown clan,Unknown sept
Ethenielle Cosaru Noramaga,946 NE,Kandori,Female,"5'4""",,"Black, dusted with gray",Clear blue,Plump,,NS,22,TPOD,Prologue,AMOL,10,Kandor,Kandor,Queen,Alive ,,,,,
Kymer,,Aiel,Female,,,Deep red,,,,,,AMOL,Prologue,AMOL,Prologue,,,,Alive ,,Wise One,,Tomanelle,Unknown sept
Evanellein Lorn,855 NE,Andoran,Female,,,,,,,,,TFOH,Prologue,TOM,38,Black Ajah,,Aes Sedai,Dead,1000 NE,Sitter,Gray Ajah,,
Ester Norham,,Andoran,Female,,,,,,,WH,26,,,,,,,,Alive ,,,,,
Estanda,,Tairen,Female,,,,,,,,,TSR,21,TGS,42,,High Lady,,Alive ,,,,,
Estair,,Aiel,Female,,,Red,"Gray, serious",Slender,,,,LOC,27,LOC,33, ,,,Alive ,,Wise One apprentice,,Unknown clan,Unknown sept
Ester Stepashin,955 NE,Illianer,Female,Short,,Dark brown; in curls,Brown,,,The Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Estalaine,,Aiel,Female,,,,Blue,,,,,ACOS,Prologue,ACOS,Prologue,Sevanna,,,Dead,1000 NE,Wise One,,Shaido,Unknown sept
Espara Soman,,,Female,,,,,,,LOC,Prologue,,,,,,,,Alive ,,Apprentice,,,
Essonde,,Seanchan,Female,,,,,,,WH,20,WH,31,WH,31,,,,Alive ,,,,,
Esne,,Kandor,Female,,,,,,,,,NS,22,NS,26,,,,Alive ,,Servant,,,
Essande,,Andoran,Female,,,White,,Slim,,,,WH,9,KOD,35,House Trakand,,,Alive ,,Maid,,,
Esole,,Aiel,Female,,,,,,,,,TSR,26,TSR,26,,,,Dead,,,,Da'shain Aiel,
Escaralde Hamdey,,Far Madding,Female,Tiny,,,,,,,,LOC,13,KOD,23,White Tower,,Aes Sedai,Alive ,,,Brown Ajah,,
Erith,,,Female,Short (for an Ogier),,Black,The color of a silverbell's ripe seedpod,,Ogier,TEOTW,42,TGH,35,AMOL,37,,,,Alive ,,,,,
Kumira Dhoran,,Shienaran,Female,,,Short,Blue,,,,,TPOD,12,WH,35,Unaligned sisters,,Aes Sedai,Dead,1000 NE,,Brown Ajah,,
Kumiko,,Unknown nationality,Female,,,Graying,,Stout,,,,KOD,13,KOD,13,The Kin,,,Alive ,,,,,
Kurin din Calin Red Sails,,,Female,,,,Dark,,,TPOD,2,TPOD,3,KOD,33,,,Windfinder,Alive ,,,,,
Kiyoshi,,Unknown nationality,Female,Tall,,,,Slender,,ACOS,32,KOD,24,KOD,24,White Tower,,Aes Sedai,Alive ,,,Gray Ajah,,
Krisa,,Seanchan,Female,,,,,,,AMOL,15,,,,,,,,Alive ,,,,,
Kuan Murasaka,,Unknown nationality,Female,,,,,,,,,TFOH,47,TFOH,47,Valan Luca,,,Alive ,,Entertainer,,,
Kiyosa Natomo,,Borderlander,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,197 NE,,Green Ajah,,
Kiruna Nachiman,,Arafellin,Female,Tall,,,Dark,,,,,TFOH,26,TPOD,12,White Tower,,Aes Sedai,Dead,,,Green Ajah,,
Esmara Getares,,Unknown nationality,Female,,,,,,,LOC,26,,,,,,Lady,Lady,Dead,,,,,
Kirukan,,Aramaellen,Female,,,,,,,TFOH,48,,,,,,Queen of Aramelle ,Queen,Dead,,,,,
Kirin Melway,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,950 NE,,Brown Ajah,,
Kirstian Chalwin,680 NE,Cairhienin,Female,,,,,,,,,TPOD,1,KOD,17,White Tower,,Novice,Alive ,,,,,
Kirin,,Aiel,Female,,,,,,,TSR,25,,,,,,,,Dead,,,,,
Kerene Nagashi,793 NE,Unknown nationality,Female,,,"Dark, Short",Nearly black,,,,,NS,7,NS,8,White Tower,Captain-General (Green Ajah),Aes Sedai,Dead,979 NE,,Green Ajah,,
Keraille Surtovni,,Saldaean,Female,Short,,"Fiery red, curly","Green, tilted",Slim,,ACOS,23,WH,8,KOD,32,The Kin,,,Alive ,,,,,
Kiam Lopiang,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,,Aes Sedai,Dead,,,Unknown Ajah,,
Keene,,Far Madding,Female,,,,,,,,,WH,32,WH,33,,,,Alive ,,Innkeeper,,,
Kaylin,,Unknown nationality,Female,,,,,,,LOC,36,,,,,,,,Alive ,,Servant,,,
Keatlin,,Altaran,Female,,,,,,,LOC,13,,,,,White Tower,,Novice,Alive ,,,,,
Kema,,Unknown nationality,Female,,,"Black, in three braids",,,,,,TOM,52,TOM,52,The Kin,,,Alive ,,,,,
Kera Haellin,,Tairen,Female,,,Fair,Blue,,,,,ACOS,Prologue,ACOS,Prologue,White Tower,,Aes Sedai,Alive ,,,Green Ajah,,
Kathana,,Altaran,Female,,,,,,,,,AMOL,11,AMOL,11,,,,Alive ,,Innkeeper,,,
Katerin,,Aiel,Female,Short,,Golden,,,,,,AMOL,5,AMOL,5,Rand al'Thor,,,Alive ,,,,Unknown clan,Unknown sept
Katrine do Catalan a'Coralle,,Murandian,Female,,,,,,,NS,5,,,,,Murandy,Queen of Murandy ,Queen,Dead,FY 1048,,,,
Kateri Nepvue,,Unknown nationality,Female,,,,,,,TOM,5,,,,,White Tower,,Aes Sedai,Dead,1000 NE,,White Ajah,,
Kasi,,Cairhienin,Female,,,,,,,,,COT,Prologue,COT,Prologue,,,,Alive ,,Cook,,,
Katerine Alruddin,950 NE,Unknown nationality,Female,,,"Dark, very long",Hard,,,,,NS,4,TOM,38,Black Ajah,Mistress of Novices,Aes Sedai,Dead,1000 NE,,Red Ajah,,
Karind Anshar,,Andoran,Female,,,Dark,,Blocky,,,,TFOH,19,KOD,35,House Trakand,Lady,High Seat,Alive ,,,,,
Kari al'Thor,,Andoran,Female,,,Red,Gray,,,TEOTW,6,,,,,Two Rivers,,,Dead,983 NE,,,,
Kari Thane,,Andoran,Female,,,,,,,TEOTW,13,,,,,Two Rivers,,,Alive ,,,,,
Karella Fanway,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,,Aes Sedai,Dead,,,Unknown Ajah,,
Karale Sanghir,,Domani,Female,,,,,,,KOD,Prologue,,,,,Black Ajah,,Aes Sedai,Unknown,,,Gray Ajah,,
Kara Defane,,,Female,,,,,,,WH,8,KOD,14,KOD,14,Kin,,,Alive ,,,,,
Kalia Karede,,Seanchan,Female,,,,,,,COT,4,,,,,,,,Dead,,,,,
Kamile Noallin,,Kandori,Female,,,Graying,,Slim,,,,NS,24,NS,24,,,,Alive ,,Banker,,,
Kanara,,Aiel,Female,,,,,,,,,TOM,15,TOM,15, ,,,Alive ,,,,Unknown clan,Unknown sept
Kaisea,,Seanchan,Female,Tall,,"Black, tied in a braid",,,,,,TOM,14,TOM,33,,,,Alive ,,,,,
Kainea,,Aiel,Female,,,Dark,,,,,,TOM,13,TOM,13, ,,,Alive ,,,,Unknown clan,Unknown sept
Kairen Stang,937 NE,Andoran,Female,,,,"Cool, Blue",,,,,NS,12,COT,17,Rebel Aes Sedai,,Aes Sedai,Dead,1000 NE,,Blue Ajah,,
Endara Casalain,,Aldesharin,Female,,,,,,,LOC,26,,,,,,,,Dead,,,,,
