name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept
Musicar,,Seanchan,Male,,,,,,,,,AMOL,17,AMOL,17,,,,Alive,,Deathwatch Guard,,,
Nuhel Dromand,,Illian,Male,Tall,,"Dark, shoulder length",,Bulky,,,,TFOH,27,KOD,1,White Tower,,,Alive,,Warder,,,
Myrelle Berengari,954 NE,Altaran,Female,,,Dark,"Dark, large",,,,,NS,3,AMOL,31,White Tower,,Aes Sedai,Alive,,,Green Ajah,,
Myriam Copan,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,797 NE,,Green Ajah,,
Musarin,,Unknown nationality,Female,Tall,,White,,,,,,TGS,6,TGS,6,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,
Mulinda,,Unknown nationality,Female,,,,,,,LOC,14,LOC,14,LOC,14,Rebel Aes Sedai,,,Alive,,Servant,,,
Mulaen,,Seanchan,Female,,,,,,,TGH,42,,,,,,,,Alive,,,,,
Morvrin Thakanos,,Illianer,Female,,,Graying,,Stout and plump,,,,TFOH,27,TOM,37,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,
Morsa,,Seanchan,Female,Short,,,,,,,,TFOH,32,TFOH,32,,,,Alive,,Lady,,,
Muelin,,Unknown nationality,Female,,,,,,,,,TFOH,40,TFOH,40,Valan Luca,,,Alive,,Entertainer,,,
Morrigan,,Andoran,Female,,,,,,,RPG,,,,,,,Queen of Andor,Queen,Dead,,,,,
Morin,,Aiel,Female,,,Yellow,,,,,,TSR,25,,,,,,Dead,,,,,
Moria Karentanis,840 NE,Illianer,Female,,,,,,,TPOD,16,TPOD,18,TGS,43,Black Ajah,,Aes Sedai,Dead,1000 NE,Sitter,Blue Ajah,,
Moria Elward,,Unknown nationality,Female,,,,,,,,,TSR,17,TSR,17,,,,Dead,,Farmer,,,
Mori,,Aiel,Female,,,,,,,,,TOM,4,TOM,4,Perrin Aybara,,,Alive,,,,Unknown clan,Unknown sept
Morgase Trakand,957 NE,Andoran,Female,"1 pace, 2 feet, 6 inches",,Red-gold curls,Blue,,,NS,5,TEOTW,40,AMOL,37,House Trakand,Lady,,Alive,,,,,
Mordrellen Mantear,,Andoran,Female,,,,,,,TFOH,19,,,,,,Queen,Queen of Andor,Dead,,,,,
Morena,,Aiel,Female,,,,,,,,,,,,,,,,Alive,,Wise One,,Unknown clan,Unknown sept
Mordaine,,Aiel,Female,,,Graying,"Green, deep-set",,,,,TSR,25,TSR,25,,,,Dead,,,,Jenn Aiel,
Mora,,Aiel,Female,,,,,,,LOC,15,,,,,,,,Dead,,Wise One,,Shaarad,Unknown sept
Mora (Goshien),,Aiel,Female,,,,,,,TOM,49,,,,,,,,unknown,,Wise One,,Goshien,Unknown sept
Monaelle,,Aiel,Female,Short,,"Red, hints of blond",,,,,,WH,Prologue,KOD,15,,,,Alive,,Wise One,,Goshien,Unknown sept
Moradri,,Mayener,Female,,,,,Long-limbed,,,,TGS,41,TGS,41,White Tower,,Aes Sedai,Alive,,,Green Ajah,,
Moiraine Damodred,956 NE,Cairhienin,Female,Short,,Brown,"Large, Brown",,,,,NS,2,AMOL,Epilogue,,Lady,Aes Sedai,Alive,,,Blue Ajah,,
Moilin,,,Female,,,,,,Ogier,TDR,50,,,,,,,,Dead,,Historian,,,
Moghedien,Age of Legends,,Female,,,"Shoulder length, dark","Large, dark",Sturdy,,TSR,9,TSR,46,AMOL,Epilogue,,,Chosen,Alive,,,,,
Modrellein,,Andoran,Female,,,,,,,TDR,16,,,,,Andor,Queen,Queen of Andor,Dead,,,,,
Modarra,,Aiel,Female,Tall,,,,Lean,,,,ACOS,Prologue,KOD,30,Sevanna,,,Alive,,Wise One,,Shaido,Unknown sept
Mistress Tuval,,Kandori,Female,,,,,,,NS,22,,,,,Kandor,,,Unknown,,,,,
Miyora,,Unknown nationality,Female,,,,,Plump,,,,COT,29,,,Valan Luca,,,,,Entertainer,,,
Miyasi,,Unknown nationality,Female,Tall,,Iron-gray,,Plump,,,,KOD,24,TGS,16,Black Ajah,,Aes Sedai,Alive,,,White Ajah,,
Mitsora Caal,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,White Tower,,Aes Sedai,Dead,,,Unknown Ajah,,
Mistress Grinwell,,Andoran,Female,,,Yellow,,,,,,TEOTW,31,TEOTW,31,,,,Alive,,,,,
Mistress Asher,,Unknown nationality,Female,,,Gray,,,,,,NS 17,,NS 17,,,,,Alive,,,,,
Mistress Huldin,,Andoran,Female,,,,,,,LOC,3,LOC,3,LOC,3,,,,Alive,,Weaver,,,
Mistress al'Donel,,Andoran,Female,,,,,,,,,TEOTW,1,TEOTW,1,Two Rivers,,,Alive,,,,,
Mistress al'Taron,,Andoran,Female,,,,,,,TSR,43,,,,,Two Rivers,,,alive,,,,,
Mistress Ahan,,Andoran,Female,,,Black,,,,,,TSR,43,,,Two Rivers,,,Alive,,,,,
Miselle,,Mayener,Female,,,,,,,,,,,,,,First of Mayene,Lady First,Dead,,,,,
Mirlene Cornwell,,Andoran,Female,,,,,,,The Wheel of Time Companion,,,,,,Elaida a'Roihan's White Tower,,Aes Sedai,Dead,1000 NE,,Green Ajah,,
Miri,,Seanchan,Female,,,,,,,,,TGS,Prologue,,,,,,Dead,1000 NE,,,,
Miren,,Andoran,Female,,,,,,,LOC,41,,,,,,,,Alive,,Seamstress,,,
Mirala,,Borderlander,Female,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,,,,
Millis Fendry,,Andoran,Female,,,,,,,COT,14,,,,,,,,Alive,,Innkeeper,,,
Mirane Larinen,,Unknown nationality,Female,,,,,,,KOD,17,,,,,The Kin,,,Dead,1000 NE,,,,
Milli Ayellin,,Andoran,Female,,,,,,,TSR,44,,,,,Two Rivers,,,Alive,,,,,
Millin,,Unknown nationality,Female,,,,,,,COT,Prologue,,,,,,,,Alive,,Farmer,,,
Milisair Chadmar,,Arad Doman,Female,,,"Dark, in tight curls, past her shoulders",,Curvy,,,,TGS,29,TGS,32,Council of Merchants,Lady,,Alive,,Merchant,,,
Milis din Shalada Three Stars,,,Female,,,Black,,,,,,TOM,25,TOM,25,,,Sailmistress,Alive,,,,,
Milsa,,Far Madding,Female,,,,,,,,,WH,32,WH,33,,,,Alive,,,,,
Milla al'Azar,,Andoran,Female,,,"Long, Braided",,,,,,LOC,Prologue,LOC,Prologue,Two Rivers,Wisdom,,Alive,,Healer,,,
Mili Skane,977 NE,Andoran,Female,,,Brown,Brown,,,,,TEOTW,33,KOD,33,Darkfriend,,,Alive,,,,,
Mikio Vadere,907 NE,Kandori,Female,,,Black,Dark Brown,Plump,,The Wheel of Time Companion,,,,,,White Tower,,Aes Sedai,Alive,,,Green Ajah,,
Mika,,Seanchan,Female,,,,,,,,,AMOL,37,AMOL,37,Ever Victorious Army,,,Dead,1000 NE,,,,
Miesa,,Unknown nationality,Female,,,,,,,,,LOC,30,LOC,30,,,,Unknown,,Servant,,,
Miedelle Caeren,,Andoran,Female,,,,,,,COT,15,,,,,Andor,Lady,,Dead,970 NE,,,,
Metarra din Junalle,,,Female,,,,Big,,,,,TPOD,2,TPOD,5,,,Apprentice,Alive,,,,,
Micara,,Aiel,Female,,,Red,,,,,,ACOS,40,ACOS,40,Sevanna,,,Alive,,Wise One,,Shaido,Unknown sept
Mestra,,Unknown nationality,Female,,,,,,,,,TOM,37,TOM,37,Black Ajah,,Aes Sedai,Dead,1000 NE,,Unknown Ajah,,
Merya,,Saldaean,Female,,,,,,,TPOD,10,,,,,,,,Alive,,,,,
Merilille Ceandevin,827 NE,Cairhienin,Female,Short,,"Black, glossy","Liquid dark, large",Slender,,LOC,15,LOC,48,COT,11,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,
Meri do Ahlan a'Conlin,,Murandian,Female,,,,,Plump,,,,NS,5,NS,5,Murandy,Lady,Lady,Alive,,,,,
Mesaana,Age of Legends,,Female,,,"Dark, chin-length","Blue, big",,,,,TSR,47,TOM,38,,,Chosen,Brain-dead,,,,,
Merici,,Unknown nationality,Female,,,,,,,,,WH,15,WH,15,Valan Luca,,,Alive,,Entertainer,,,
Merise Haindehl,798 NE,Taraboner,Female,Tall,,Dark,Blue,,,,,WH,13,AMOL,37,Unaligned sisters,,Aes Sedai,Alive,,,Green Ajah,,
Merym,,Arafellin,Female,,,,,,,KOD,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,White Ajah,,
Meri,,Unknown nationality,Female,,,Dark,Dark,,,ACOS,8,ACOS,11,,,Rebel Aes Sedai,,,Dead,1000 NE,Maid,,,
Meramor,,Unknown nationality,Female,,,,,,,TOM,20,,,,,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,
Merana Ambrey,889 NE,Andoran,Female,,,,,,,LOC,36,LOC,43,KOD,21,Rebel Aes Sedai,,Aes Sedai,Alive,,,Gray Ajah,,
Merean Tihomar,,Shienaran,Female,,,,,,,,,,,,,Shienar,Queen of Shienar,Queen,Dead,,,,,
Merean Redhill,716 NE,Andoran,Female,,,Gray,,Plump,,NS,2,NS,5,NS,26,Black Ajah,Mistress of Novices,Aes Sedai,Dead,979 NE,,Blue Ajah,,
Meralda Belmondes,,Tairen,Female,Tall,,,,,,,,TPOD,8,TPOD,8,Cha Faile,,,Alive,,,,,
Mera,,Aiel,Female,,,,,,,,,,,,,,,,Alive,,,,Unknown clan,Unknown sept
Menuki Nachiman,,Arafellin,Female,,,,,,,TPOD,Prologue,,,,,Arafel,,,Alive,,,,,
Memara,,Unknown nationality,Female,,,,,,,TFOH,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,Red Ajah,,
Melore,,Domani,Female,,Plump,,,,,,,ACOS,37,ACOS,38,The Kin,,Elder,Dead,1000 NE,,,,
Melvara,,Unknown nationality,Female,,,,,,,TGS,39,,,,,Black Ajah,,Aes Sedai,Alive,,,Unknown Ajah,,
Melli Craeb,,Unknown nationality,Female,Short,,Auburn,,,,,,TOM,8,TOM,8,,,,Alive,,Tavernkeeper,,,
Melitene,,Seanchan,Female,,,"Graying, long",,,,,,COT,4,TOM,47,,,Der'sul'dam,Alive,,,,,
Melindhra,,Aiel,Female,Tall,,"Long, golden",Pale blue,,,,,TFOH,3,TFOH,51,The Shadow,,,Dead,999 NE,,,Shaido,Jumai
Melavaire Someinellin,,Cairhienin,Female,Short,,Dark with white flecks,,Stout,,,,KOD,24,KOD,24,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,
Melfane Dawlish,,Andoran,Female,Short,,,Dark,Stout,,KOD,15,KOD,31,TOM,45,Elayne Trakand,,,Alive,,Midwife,,,
Melasune,,Andoran,Female,,,,,,,RPG,,,,,,,Queen of Andor,Queen,Dead,FY 1046,,,,
Melaine,,Aiel,Female,,,Golden-red,Green,,,TDR,39,TSR,23,AMOL,33,,,,Alive,,Wise One,,Goshien,Jhirad
Melare,,Andoran,Female,,,,Bright blue,Plump,,,,KOD,Prologue,AMOL,14,The Shadow,,Aes Sedai,Unknown,,,Red Ajah,,
Meise,,Aiel,Female,Tall,,,,,,TOM,48,,,,,,,,Unknown,,Unknown occupation,,Unknown clan,Unknown sept
Meilyn Arganya,,Unknown nationality,Female,Tall,,Silver-gray,Startling blue,,,NS,3,NS,5,NS,8,White Tower,,Aes Sedai,Dead,979 NE,,White Ajah,,
Meira,,Aiel,Female,,,,Blue,,,,,ACOS,Prologue,KOD,5,Sevanna,,,Alive,,Wise One,,Shaido,White Cliff
Medore Damara,,Tairen,Female,Tall,,,"Bright, blue",,,TSR,2,WH,6,KOD,12,Cha Faile,Lady,,Alive,,,,,
Megana,,Aiel,Female,,,,,,,,,ACOS,3,ACOS,3,,,,Alive,,Wise One,,Unknown clan,Unknown sept
Meidani Eschede,,Arafellin,Female,Tall,,Dark golden,Blue,Slim,,,,NS,4,TGS,39,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,
Lyrelle Arienwin,833 NE,Cairhienin,Female,Average,,,,,,,,TPOD,16,AMOL,Epilogue,White Tower,,Aes Sedai,Alive,,Sitter,Blue Ajah,,
Lyndelle,,Andoran,Female,,,,,,,LOC,26,,,,,Andor,Queen,Queen of Andor,Dead,30 NE,,,,
Lydel Elonid,,Altaran,Female,,,,,,,WH,29,,,,,,,,Alive,,Innkeeper,,,
Lusara,,Domani,Female,,,"Black, going white, shoulder-length",,Buxom,,,,KOD,5,KOD,28,Faile Bashere,,,Alive,,Merchant,,,
Lusonia Cole,,Andoran,Female,,,,,,,COT,Prologue,,,,,,,Aes Sedai,Alive,,,Green Ajah,,
Ludin,,Aiel,Female,,,,,,,,,AMOL,12,AMOL,12,Rand al'Thor,,,Alive,,,,Unknown clan,Unknown sept
Ludice Daneen,,Taraboner,Female,,,"Long braids to waist, beaded",,Bony,,,,NS,7,NS,8,White Tower,,Aes Sedai,Dead,979 NE,,Yellow Ajah,,
Lucilde,,Andoran,Female,,,,,Lanky,,,,LOC,30,LOC,30,White Tower,,Novice,Alive,,,,,
Luci,,Amadician,Female,,,Dark,,Thin,,,,TFOH,9,TFOH,10,Yellow Ajah,,,Alive,,Servant,,,
Luaine,,Aiel,Female,,,Yellow,,,,TDR,39,,,,,,,,Alive,,,,Unknown clan,Unknown sept
Lucain,,Unknown nationality,Female,,,Brunette,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive,,,,,
Loya,,Altaran,Female,,,,,,,,,ACOS,28,,,,,,Alive,,Servant,,,
Loral,,Domani,Female,,,,,,,,,TGS,32,TGS,32,House Chadmar,,,Alive,,Dosun,,,
Losaine,,Aiel,Female,,,Dark,Gray,,,,,TPOD,Prologue,TPOD,Prologue,,,,Alive,,Wise One,,Unknown clan,Unknown sept
Lisandre,,Arafel,Female,Tall,,"Long, golden",,,,,,NS,6,NS,6,White Tower,,Novice,Alive,,,,,
Lisaine Jarath,,Seanchan,Female,,,Gray,Blue,,,,,TPOD,24,TPOD,24,,,,Alive,,,,,
Lirene Doirellin,820 NE,Cairhienin,Female,Short,,,,,,ACOS,Prologue,KOD,24,TGS,16,White Tower,,Aes Sedai,Alive,,Sitter,Red Ajah,,
Loise al'Vere,975 NE,Andoran,Female,,,,,,,,,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Alive,,,,,
Lindsar,,,Female,,,,,,Ogier,,,AMOL,42,AMOL,42,,,,Alive,,,,,
Lira,,Kandori,Female,,,,,,,,,NS,16,NS,16,,,,,,Serving girl,,,
Lini Eltring,,Andoran,Female,,,"White, in a bun",Dark,Thin,,TEOTW,40,TFOH,19,TOM,44,Morgase Trakand,,,Alive,,Maid,,,
Lind Taglien,,Unknown nationality,Female,,,,,,,,,AMOL,3,AMOL,3,,,,Alive,,Innkeeper,,,
Lifa,,Unknown nationality,Female,,,,,,,AMOL,37,,,,,The Shadow,,,Dead,1000 NE,Merchant,,,
Lincora,,,Female,,,,,,,,,KOD,22,KOD,22,,,First Twelve,Alive,,,,,
Lidya,,Seanchan,Female,,,Red,,,,,,WH,14,WH,14,Ever Victorious Army,,,Alive,,,,,
Lideine Rajan,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,,Aes Sedai,Dead,,,,,
Lidan,,Cairhienin,Female,,,,,,,,,TGH,21,TGH,21,,,,Alive,,Maid,,,
Liandrin Guirale,964 NE,Taraboner,Female,,,Honey-colored and braided,Dark Brown,,,,,TGH,4,KOD,Prologue,Black Ajah,,Aes Sedai,Unknown,,,Red Ajah,,
Lyonford,,Saldaean,Male,,,,,,,TOM,16,,,,,,,,Dead,,King,,,
Liah,,Aiel,Female,,,,,,,,,LOC,3,ACOS,41,,,,Dead,1000 NE,,,Chareen,Cosaida
Lyncon,,Cairhienin,Male,,,,,,,,,TGS,9,TGS,9,,,,Alive,,Carpenter,,,
Lian,,Aiel,Female,,,Yellow Graying slightly,Gray,,,TSR,12,TSR,49,TSR,49,,,,Alive,,Roofmistress,,Taardad,Nine Valleys
Lussin,,Cairhienin,Male,,,,,,,,,TOM,19,TOM,19,Band of the Red Hand,,,Alive,,,,,
Luthair Paendrag Mondwin,FY 967,Seanchan,Male,,,,,,,TGH,40,,,,,,,,Dead,,,,,
Lurts,,Saldaea,Male,,,,,Muscular,,,,TGS,32,TGS,32,,,,Alive,,Soldier,,,
Lunal Galgan,,Seanchan,Male,Tall,,White,Blue,,,,,KOD,Prologue,AMOL,37,,,Captain-General,Alive,,,,,
Lucellin,,Unknown nationality,Male,,,,,,,TSR,1,,,,,Children of the Light,,,Alive,,Soldier,,,
Luca (Aiel),,Aiel,Male,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,
Medanor Eramandos,,Illianer,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,171 NE,,Gray Ajah,,
Meashan Dubaris,,Arad Doman,Female,,,,,,,TGS,31,,,,,Council of Merchants,,,Dead,1000 NE,Merchant,,,
Mayv,,Andoran,Female,,,,,,,COT,13,,,,,House Trakand,Lady,,Dead,,,,,
Mayam Colona,960 NE,Tairen,Female,,,,,,,LOC,25,,,,,White Tower,,Aes Sedai,Alive,,,White Ajah,,
Matilde,,Altaran,Female,,,,,,,,,ACOS,16,,,,,,Alive,,Servant,,,
Mavra Mallen,,Andoran,Female,,,"Long, Braided",,,,TEOTW,16,,,,,Two Rivers,Wisdom,,Alive,,Healer,,,
Maylin,,Altaran,Female,,,,,,,,,ACOS,39,ACOS,39,,,,Alive,,Maid,,,
Materese,,,Female,,,,,,,TEOTW,4,,,,,,Materese the Healer,,Fictional character,,,,,
Masuri Sokawa,935 NE,Arafellin,Female,,,,Dark,Slim,,LOC,41,LOC,43,AMOL,44,Perrin Aybara,,Aes Sedai,Alive,,,Brown Ajah,,
Mashera Donavelle,,Unknown nationality,Female,,,,,,,ACOS,6,,,,,,,Aes Sedai,Dead,,,Unknown Ajah,,
Masalin,,Aiel,Female,,,Gray,,,,,,COT,9,COT,9,Shaido Aiel,,,Alive,,Wise One,,Shaido,Unknown sept
Maryl Harke,,Unknown nationality,Female,,,,,,,WH,Prologue,,,,,School of Cairhien,,,Alive,,Inventor,,,
Martna Baily,,Murandian,Female,,,,,,,TGS 28,,,,TGS 28,,,,,Unknown,,Baker (possibly),,,
Marya Somares,,Tairen,Female,tall,,,dark,slender,,TWORJTWOT,,,,,,White Tower,,Aes Sedai,Dead,,,Gray Ajah,,
Marthera,,Unknown nationality,Female,,,,,,,TGS,40,,,,,Seanchan,,Aes Sedai,Alive,,,Green Ajah,,
Marthea,,Aiel,Female,,,,,,,TGS,21,,,,,Shaido,,,Dead,1000 NE,,,Shaido,Unknown sept
Marline,,Aiel,Female,Tall,,Dark,Purple,,,,,TPOD,9,KOD,29,,,,Alive,,Wise One,,Unknown clan,Unknown sept
Marris Thornhill,,Andoran,Female,,,,,Plump,,TDR,13,COT,Prologue,COT,Prologue,Black Ajah,,Aes Sedai,Unknown,,,Brown Ajah,,
Marith Riven,,Murandian,Female,,,,,,,TGH,45,ACOS,1,ACOS,1,The Dragon Reborn,,Aes Sedai,Alive,,,Brown Ajah,,
Marli Noichin,,Seanchan,Female,,,,Dark,Plump,,,,WH,8,WH,8,,,,Alive,,,,,
Marsial,,Unknown nationality,Female,,,,,,,,,TGS,38,TGS,38,White Tower,,Novice,Alive,,,,,
Marith Jaen,700 NE,Unknown nationality,Female,,,,,,,ACOS,Prologue,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,988 NE,,Blue Ajah,,
Marisa Ahan,,Andoran,Female,,,,,,,,,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,
Marinna,,Aiel,Female,,,,,Small,,,,TOM,49,TOM,49,,Child of the Dragon,,Foreseen,,Wise One apprentice,,,
Marisa Ayellin,,Andoran,Female,,,,,,,TGH,36,,,,,Two Rivers,,,Alive,,,,,
Marin al'Vere,,Andoran,Female,,Slender,Graying,,,,TEOTW,1,TEOTW,2,TSR,56,Two Rivers,Women's Circle Member,,Alive,,,,,
Marillin Gemalphin,848 NE,Andoran,Female,,,"Brown, lifeless","Blue, dreamy",Skinny,,TDR,25,TSR,38,KOD,33,Black Ajah,,Aes Sedai,Unknown,,Dreadlord,Brown Ajah,,
Marille,,Seanchan,Female,,,,,Stout,,WH,8,KOD,14,TOM,33,,,,Alive,,,,,
Mari,,Andoran,Female,,,,,,,,,TEOTW,14,TEOTW,14,,,,Alive,,Serving girl,,,
Marce Eldin,,Andoran,Female,,,,,Stocky,,,,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,
Marewin,,Amadician,Female,,,,,Slight,,,,LOC,9,LOC,9,,Lady,,Alive,,,,,
Marasale Jureen,,Unknown nationality,Female,,,,,,,TWORJTWOT,,,,,,,Amyrlin Seat,Aes Sedai,Dead,732 NE,,Yellow Ajah,,
Maralenda,,Andor,Female,,,,,,,TGS,8,,,,,White Tower,,Aes Sedai,Alive,,,Unknown Ajah,,
Mareil,,,Female,Tall,,"Shoulder-length, black, going white",,Slender,,,,KOD,22,KOD,22,,,First Twelve,Alive,,,,,
Marah Anan,,Altaran,Female,,,,,,,,,WH,19,WH,29,,,,Alive,,Maid,,,
Marande Algoran,,Amadician,Female,,,,,,,,,LOC,9,LOC,9,,Lady,,Alive,,,,,
Marah,,Murandian,Female,,,,"Mischievous, blue",Stocky,,,,KOD,24,KOD,24,White Tower,,Novice,Alive,,,,,
Mara Tomanes,,Tairen,Female,,,,,,,TSR,47,,,,,,,,Unknown,,,,,
Maragaine,,Andoran,Female,,,,,,,LOC,26,,,,,Andor,Queen,Queen of Andor,Dead,,,,,
Leyn,,Aiel,Female,,,,,,,,,ACOS,19,ACOS,19,,,,Alive,,Wise One,,,Unknown sept
Letice Murow,,Murandian,Female,,,,Pale,,,,,COT,17,COT,17,White Tower,,Novice,Alive,,,,,
Leya,,,Female,,,Gray,,,,,,TDR,1,TDR,5,,,,Dead,999 NE,,,,
Lerian,,Aiel,Female,,,Sandy,,Skinny,,,,LOC,45,TOM,25,,,,Alive,,,,Unknown clan,Unknown sept
Lemore Genhal,,Taraboner,Female,,,,,,,WH,8,,,,,Kin,,,Alive,,,,,
Lemai Ambani,,Unknown nationality,Female,,,,,,,,,WH,Prologue,COT,Prologue,White Tower,,Aes Sedai,Alive,,,Red Ajah,,
Leral Anan,,Altaran,Female,,,,,,,,,WH,19,WH,29,,,,Alive,,Maid,,,
Lelaine Akashi,,Kandori,Female,,,,"Dark, Penetrating",Slender,,,,NS,11,AMOL,37,White Tower,First Selector,Aes Sedai,Alive,,Sitter,Blue Ajah,,
Leitha,,Tairen,Female,,,,,,,,,TSR,21,TSR,21,,Lady of the Land,,Alive,,,,,
Leich,,Altaran,Female,,,,,,,TDR,33,,,,,,Wisdom,,Alive,,Healer,,,
Leilwin (Taraboner),,Taraboner,Female,,,,,,,TSR,38,,,,,Tarabon,,,Alive,,,,,
Leish,,Unknown nationality,Female,,,White,,Plump,,,,AMOL,3,AMOL,3,,,,Alive,,,,,
Leeh,,Aiel,Female,,,,,,,,,TOM,13,TOM,13,,,,Alive,,,,Unknown clan,Unknown sept
Leane Sharif,952 NE,Domani,Female,Tall (roughly 6ft),,,,Thin,,,,NS,11,AMOL,37,White Tower,,Aes Sedai,Alive,,,Green Ajah,,
Laurain,,Amadician,Female,,,,,Slender,,,,LOC,9,LOC,9,,Lady,,Alive,,,,,
Latra Posae Decume,,Unknown nationality,Female,,,,,,,TSASG,,,,,,,,Aes Sedai,Dead,,,,,
Laritha,,Unknown nationality,Female,,,,,,,LOC,40,,,,,,,,Alive,,Housewife,,,
Latelle Luca,,Unknown nationality,Female,,,"Short, Dark",Dark,,,,,TFOH,17,KOD,11,Valan Luca,,,Alive,,Entertainer,,,
Larissa Lyndel,,Unknown nationality,Female,,,,,Bony,,,,LOC,30,LOC,30,Black Ajah,,Aes Sedai,Dead,1000 NE,,Yellow Ajah,,
Larine Ayellin,981 NE,Andoran,Female,,,Thick braid,,Willowy,,,,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,
Laren,,Altaran,Female,,,,,,,,,ACOS,16,,,,,,Alive,,Servant,,,
Lara Ayellan,,Andoran,Female,,,,,,,TEOTW,13,,,,,Two Rivers,,,Alive,,,,,
Laras,,Unknown nationality,Female,,,Graying,,Fat,,,,NS,6,AMOL,33,White Tower,Mistress of the Kitchens,,Alive,,Cook,,,
